Rank,CCA3,Country/Territory,2022,2020,2015,2010,2000,1990,1980,1970,Growth Rate,World Population Percentage
29,KOR,South Korea,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,0.9997,0.65
139,JAM,Jamaica,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,0.9999,0.04
206,BMU,Bermuda,64184,64031,63144,63447,61371,57470,53565,52019,1,0
1,CHN,China,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,1,17.88
148,SVN,Slovenia,2119844,2117641,2080862,2057286,1984339,1986024,1901570,1741286,1.0002,0.03
157,MUS,Mauritius,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,1.0004,0.02
223,COK,Cook Islands,17011,17029,17695,17212,15897,17123,17651,20470,1.0005,0
118,FIN,Finland,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,1.0009,0.07
211,KNA,Saint Kitts and Nevis,47657,47642,47790,47403,45461,40636,43097,44968,1.0011,0
190,LCA,Saint Lucia,179857,179237,175623,170935,159500,142301,121633,103090,1.0011,0
20,THA,Thailand,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,1.0013,0.9
210,NFK,Northern Mariana Islands,49551,49587,51514,54087,80338,48002,17613,10143,1.0014,0
57,TWN,Taiwan,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,1.0014,0.3
186,BRB,Barbados,281635,280693,278083,274711,264657,258868,253575,241397,1.0015,0
23,FRA,France,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,1.0015,0.81
30,ESP,Spain,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,1.0015,0.6
222,PLW,Palau,18055,17972,17794,18540,19726,15293,12252,11366,1.0017,0
99,AUT,Austria,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,1.002,0.11
143,QAT,Qatar,2695122,2760385,2414573,1713504,645937,441675,277450,118007,1.0026,0.03
61,LKA,Sri Lanka,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,1.0027,0.27
202,IMN,Isle of Man,84519,84046,83593,83828,75562,68865,64022,55298,1.003,0
214,SXM,Sint Maarten,44175,43621,40205,33034,30489,27845,12243,6260,1.003,0
21,GBR,United Kingdom,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,1.0034,0.85
112,SLV,El Salvador,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,1.0035,0.08
153,TTO,Trinidad and Tobago,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,1.0035,0.02
71,NLD,Netherlands,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,1.0036,0.22
51,VEN,Venezuela,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,1.0036,0.35
207,GGY,Guernsey,63301,62794,61629,60782,59114,57727,52860,52656,1.0037,0
81,BEL,Belgium,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,1.0038,0.15
209,FRO,Faroe Islands,53090,52415,48816,48410,45660,47479,43054,38416,1.0038,0
56,PRK,North Korea,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,1.0038,0.33
3,USA,United States,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,1.0038,4.24
208,GRL,Greenland,56466,56026,55895,56351,56184,55599,50106,45434,1.004,0
189,CUW,Curacao,191163,189288,169572,159380,141424,155446,156851,150385,1.0043,0
231,FLK,Falkland Islands,3780,3747,3408,3187,3080,2332,2240,2274,1.0043,0
91,AZE,Azerbaijan,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,1.0044,0.13
129,KWT,Kuwait,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,1.0044,0.05
204,DMA,Dominica,72737,71995,70007,68755,68346,69481,72978,68895,1.0045,0
174,MDV,Maldives,523787,514438,435582,361575,282507,224957,164887,123243,1.0045,0.01
7,BRA,Brazil,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,1.0046,2.7
115,DNK,Denmark,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,1.0048,0.07
176,BHS,Bahamas,409984,406471,392697,373272,325014,270679,223752,179129,1.0051,0.01
33,ARG,Argentina,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,1.0052,0.57
124,CRI,Costa Rica,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,1.0052,0.06
164,GUY,Guyana,808726,797202,755031,747932,759051,747116,778176,705261,1.0052,0.01
162,FJI,Fiji,929766,920422,917200,905169,832509,780430,644582,527634,1.0056,0.01
101,CHE,Switzerland,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,1.0056,0.11
65,CHL,Chile,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,1.0057,0.25
201,ATG,Antigua and Barbuda,93763,92664,89941,85695,75055,63328,64888,64516,1.0058,0
120,NOR,Norway,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,1.0058,0.07
113,SGP,Singapore,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,1.0058,0.07
221,VGB,British Virgin Islands,31305,30910,29366,27556,20104,15617,11109,9581,1.0059,0
158,CYP,Cyprus,1251488,1237537,1187280,1129686,948237,788500,679327,640804,1.0059,0.02
154,BHR,Bahrain,1472233,1477469,1362142,1213645,711442,517418,362595,222555,1.0061,0.02
196,SYC,Seychelles,107118,105530,99240,92409,80060,71057,65290,54379,1.0061,0
10,MEX,Mexico,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1.0063,1.6
165,BTN,Bhutan,782455,772506,743274,705516,587207,558442,415257,298894,1.0064,0.01
4,IDN,Indonesia,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1.0064,3.45
224,AIA,Anguilla,15857,15585,14525,13172,11047,8316,6560,6283,1.0066,0
193,GRD,Grenada,125438,123663,118980,114039,107432,99047,94838,98794,1.0066,0
18,TUR,Turkey,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,1.0067,1.07
2,IND,India,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,1.0068,17.77
28,COL,Colombia,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1.0069,0.65
179,ISL,Iceland,372899,366669,331060,318333,281462,255019,228263,204468,1.0069,0
17,IRN,Iran,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1.0071,1.11
26,MMR,Myanmar,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,1.0071,0.68
191,GUM,Guam,171774,169231,167978,164905,160188,138263,110286,88300,1.0073,0
125,IRL,Ireland,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,1.0073,0.06
183,PYF,French Polynesia,306279,301920,291787,283788,250927,211089,163591,117891,1.0074,0
216,LIE,Liechtenstein,39327,38756,37355,35926,33026,28765,25003,21089,1.0074,0
16,VNM,Vietnam,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,1.0074,1.23
185,NCL,New Caledonia,289950,286403,283032,261426,221537,177264,148599,110982,1.0075,0
79,TUN,Tunisia,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,1.0076,0.15
39,CAN,Canada,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,1.0078,0.48
159,SWZ,Eswatini,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,1.0079,0.02
87,SWE,Sweden,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,1.0079,0.13
197,TON,Tonga,106858,105254,106122,107383,102603,98727,96708,86484,1.0079,0
175,BRN,Brunei,449002,441725,421437,396053,333926,261928,187921,133343,1.0081,0.01
97,ARE,United Arab Emirates,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,1.0081,0.12
161,REU,Reunion,974052,957822,922495,890130,785424,658992,551674,473925,1.0082,0.01
170,SUR,Suriname,618040,607065,575475,546080,478998,412756,375112,379918,1.0082,0.01
205,CYM,Cayman Islands,68706,67311,60911,54074,39658,26027,17100,10533,1.0084,0
24,ZAF,South Africa,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,1.0084,0.75
171,CPV,Cape Verde,593149,582640,552166,521212,458251,364563,317234,287262,1.0089,0.01
194,FSM,Micronesia,114164,112106,109462,107588,111709,98603,76299,58989,1.0091,0
227,TUV,Tuvalu,11312,11069,10877,10550,9638,9182,7731,5814,1.0096,0
228,BLM,Saint Barthelemy,10967,10681,9643,8988,7082,5168,2983,2417,1.0098,0
55,AUS,Australia,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,1.0099,0.33
44,PER,Peru,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1.0099,0.43
203,AND,Andorra,79824,77700,71746,71519,66097,53569,35611,19860,1.01,0
84,DOM,Dominican Republic,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,1.01,0.14
40,MAR,Morocco,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,1.0103,0.47
66,KAZ,Kazakhstan,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,1.0105,0.24
195,JEY,Jersey,110778,108319,100561,96151,86192,82874,75124,68347,1.0106,0
147,LSO,Lesotho,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,1.0107,0.03
8,BGD,Bangladesh,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,1.0108,2.15
73,KHM,Cambodia,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,1.0108,0.21
123,NZL,New Zealand,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,1.0108,0.07
45,MYS,Malaysia,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,1.0109,0.43
67,ECU,Ecuador,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,1.0114,0.23
107,LBY,Libya,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1.0114,0.09
109,PRY,Paraguay,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,1.0115,0.09
233,TKL,Tokelau,1871,1827,1454,1367,1666,1669,1647,1714,1.0119,0
80,BOL,Bolivia,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,1.012,0.15
82,HTI,Haiti,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,1.012,0.15
83,JOR,Jordan,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,1.0123,0.14
127,OMN,Oman,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,1.0123,0.06
173,MLT,Malta,533286,515357,456579,418755,399212,365392,333587,315414,1.0124,0.01
167,MAC,Macau,695168,676283,615239,557297,431896,350227,245332,247284,1.0125,0.01
225,NRU,Nauru,12668,12315,11185,10241,10377,9598,7635,6663,1.0125,0
41,SAU,Saudi Arabia,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,1.0128,0.46
168,LUX,Luxembourg,647599,630399,569408,507070,435628,381267,363741,339342,1.0129,0.01
177,BLZ,Belize,405272,394921,359871,322106,240406,182589,145133,120905,1.0131,0.01
212,TCA,Turks and Caicos Islands,45703,44276,36538,29726,18744,11709,7598,5665,1.0131,0
128,PAN,Panama,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,1.0132,0.06
68,GTM,Guatemala,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,1.0134,0.22
160,DJI,Djibouti,1120849,1090156,1006259,919199,742033,577173,324121,144379,1.0138,0.01
111,TKM,Turkmenistan,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,1.014,0.08
103,LAO,Laos,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,1.0141,0.09
106,NIC,Nicaragua,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,1.0143,0.09
145,NAM,Namibia,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,1.0146,0.03
13,PHL,Philippines,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,1.0147,1.45
89,HND,Honduras,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,1.015,0.13
134,MNG,Mongolia,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1.0151,0.04
86,SSD,South Sudan,10913164,10606227,11194299,9714419,6114440,4750817,4192011,3342410,1.0153,0.14
155,TLS,Timor-Leste,1341296,1299995,1205813,1088486,878360,758106,642224,554021,1.0154,0.02
98,ISR,Israel,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,1.0155,0.11
14,EGY,Egypt,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1.0158,1.39
110,KGZ,Kyrgyzstan,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,1.0158,0.08
43,UZB,Uzbekistan,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,1.016,0.43
144,BWA,Botswana,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,1.0162,0.03
34,DZA,Algeria,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,1.0164,0.56
188,WSM,Samoa,222382,214929,203571,194672,184008,168186,164905,142771,1.0165,0
49,NPL,Nepal,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,1.0171,0.38
64,ROU,Romania,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,1.0171,0.25
132,ERI,Eritrea,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,1.0176,0.05
192,KIR,Kiribati,131232,126463,116707,107995,88826,75124,60813,57437,1.0183,0
163,COM,Comoros,836774,806166,730216,656024,536758,431119,328328,242351,1.0184,0.01
172,ESH,Western Sahara,575986,556048,491824,413296,270375,178529,116775,76371,1.0184,0.01
5,PAK,Pakistan,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,1.0191,2.96
187,STP,Sao Tome and Principe,227380,218641,201124,182138,143714,120343,97210,77583,1.0192,0
27,KEN,Kenya,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,1.0193,0.68
93,PNG,Papua New Guinea,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,1.0194,0.13
47,GHA,Ghana,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,1.0196,0.42
146,GAB,Gabon,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,1.0204,0.03
74,ZWE,Zimbabwe,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,1.0204,0.2
95,TJK,Tajikistan,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,1.0208,0.12
121,LBR,Liberia,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,1.021,0.07
46,YEM,Yemen,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,1.0217,0.42
149,GNB,Guinea-Bissau,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,1.0218,0.03
102,SLE,Sierra Leone,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,1.022,0.11
35,IRQ,Iraq,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,1.0221,0.56
117,CAF,Central African Republic,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,1.0224,0.07
122,PSE,Palestine,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,1.0227,0.07
114,COG,Republic of the Congo,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,1.0231,0.07
166,SLB,Solomon Islands,724273,691191,612660,540394,429978,324171,233668,172833,1.0232,0.01
76,RWA,Rwanda,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,1.0234,0.17
100,TGO,Togo,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,1.0236,0.11
181,VUT,Vanuatu,326740,311685,276438,245453,192074,150882,118156,87019,1.0238,0
184,GUF,French Guiana,304557,290969,257026,228453,164351,113931,66825,46484,1.0239,0
50,MDG,Madagascar,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,1.0241,0.37
